x, y, z
-71.000000, 39.400000, 65.000000
-71.025000, 39.508333, 64.166667
-71.050000, 39.616667, 63.333333
-71.075000, 39.725000, 62.500000
-71.100000, 39.833333, 61.666667
-71.125000, 39.941667, 60.833333
-71.150000, 40.050000, 60.000000
-71.175000, 40.158333, 59.166667
-71.200000, 40.266667, 58.333333
-71.225000, 40.375000, 57.500000
-71.250000, 40.483333, 56.666667
-71.275000, 40.591667, 55.833333
-71.300000, 40.700000, 55.000000
-71.350000, 40.783333, 54.166667
-71.400000, 40.866667, 53.333333
-71.450000, 40.950000, 52.500000
-71.500000, 41.033333, 51.666667
-71.550000, 41.116667, 50.833333
-71.600000, 41.200000, 50.000000
-71.666667, 41.250000, 48.333333
-71.733333, 41.300000, 46.666667
-71.800000, 41.350000, 45.000000
-71.866667, 41.400000, 43.333333
-71.933333, 41.450000, 41.666667
-72.000000, 41.500000, 40.000000
-72.075000, 41.525000, 39.166667
-72.150000, 41.550000, 38.333333
-72.225000, 41.575000, 37.500000
-72.300000, 41.600000, 36.666667
-72.375000, 41.625000, 35.833333
-72.450000, 41.650000, 35.000000
-72.525000, 41.675000, 34.166667
-72.600000, 41.700000, 33.333333
-72.675000, 41.725000, 32.500000
-72.750000, 41.750000, 31.666667
-72.825000, 41.775000, 30.833333
-72.900000, 41.800000, 30.000000
-73.025000, 41.791667, 29.583333
-73.150000, 41.783333, 29.166667
-73.275000, 41.775000, 28.750000
-73.400000, 41.766667, 28.333333
-73.525000, 41.758333, 27.916667
-73.650000, 41.750000, 27.500000
-73.775000, 41.741667, 27.083333
-73.900000, 41.733333, 26.666667
-74.025000, 41.725000, 26.250000
-74.150000, 41.716667, 25.833333
-74.275000, 41.708333, 25.416667
-74.400000, 41.700000, 25.000000
-74.366667, 41.675000, 25.000000
-74.333333, 41.650000, 25.000000
-74.300000, 41.625000, 25.000000
-74.266667, 41.600000, 25.000000
-74.233333, 41.575000, 25.000000
-74.200000, 41.550000, 25.000000
-74.166667, 41.525000, 25.000000
-74.133333, 41.500000, 25.000000
-74.100000, 41.475000, 25.000000
-74.066667, 41.450000, 25.000000
-74.033333, 41.425000, 25.000000
-74.000000, 41.400000, 25.000000
-74.008333, 41.408333, 25.000000
-74.016667, 41.416667, 25.000000
-74.025000, 41.425000, 25.000000
-74.033333, 41.433333, 25.000000
-74.041667, 41.441667, 25.000000
-74.050000, 41.450000, 25.000000
-74.058333, 41.458333, 25.000000
-74.066667, 41.466667, 25.000000
-74.075000, 41.475000, 25.000000
-74.083333, 41.483333, 25.000000
-74.091667, 41.491667, 25.000000
-74.100000, 41.500000, 25.000000
